iter	Passed	Remaining
0	60	60588
1	61	30472
2	61	20402
3	61	15366
4	62	12345
5	62	10332
6	62	8894
7	63	7812
8	63	6978
9	63	6307
10	64	5759
11	64	5295
12	64	4905
13	64	4573
14	65	4283
15	65	4028
16	65	3803
17	66	3602
18	66	3423
19	66	3261
20	66	3117
21	67	2984
22	67	2861
23	67	2750
24	67	2647
25	68	2553
26	68	2467
27	68	2390
28	69	2315
29	69	2246
30	69	2180
31	70	2121
32	70	2062
33	70	2006
34	70	1954
35	71	1906
36	71	1859
37	71	1815
38	71	1772
39	72	1732
40	72	1695
41	72	1660
42	73	1627
43	73	1595
44	73	1565
45	74	1536
46	74	1509
47	74	1482
48	75	1457
49	75	1434
50	75	1413
51	76	1392
52	76	1373
53	77	1351
54	77	1332
55	77	1312
56	78	1293
57	78	1275
58	78	1259
59	79	1243
60	79	1226
61	79	1209
62	80	1194
63	80	1177
64	80	1162
65	81	1147
66	81	1133
67	81	1119
68	81	1105
69	82	1092
70	82	1078
71	82	1065
72	82	1053
73	83	1040
74	83	1028
75	83	1016
76	83	1005
77	84	996
78	84	986
79	84	977
80	85	969
81	85	960
82	85	949
83	86	941
84	86	932
85	87	925
86	87	916
87	87	907
88	87	899
89	88	890
90	88	882
91	88	874
92	88	866
93	89	858
94	89	850
95	89	842
96	89	835
97	90	829
98	90	823
99	90	818
100	91	812
101	91	807
102	92	801
103	92	795
104	92	790
105	93	784
106	93	778
107	93	773
108	93	768
109	94	762
110	94	757
111	94	752
112	95	747
113	95	742
114	95	737
115	96	732
116	96	727
117	96	723
118	97	718
119	97	713
120	97	708
121	97	703
122	98	698
123	98	694
124	98	689
125	98	685
126	99	680
127	99	677
128	99	675
129	100	672
130	100	668
131	101	664
132	101	660
133	101	656
134	101	652
135	102	648
136	102	645
137	102	641
138	102	637
139	103	634
140	103	630
141	103	625
142	103	622
143	104	618
144	104	614
145	104	611
146	104	608
147	105	605
148	105	602
149	105	598
150	105	595
151	106	596
152	107	593
153	107	590
154	107	587
155	107	584
156	108	581
157	108	578
158	108	574
159	108	571
160	109	568
161	109	565
162	109	562
163	109	559
164	110	556
165	110	553
166	110	551
167	110	548
168	110	545
169	111	543
170	111	540
171	111	537
172	111	535
173	112	532
174	112	530
175	112	527
176	112	525
177	113	523
178	113	521
179	113	519
180	114	516
181	114	514
182	114	512
183	115	510
184	115	508
185	115	506
186	116	504
187	116	502
188	116	501
189	117	500
190	117	498
191	117	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	119	482
199	120	480
200	120	478
201	120	477
202	121	476
203	121	474
204	121	472
205	122	471
206	122	469
207	122	468
208	123	466
209	123	465
210	123	463
211	124	461
212	124	460
213	125	459
214	125	458
215	125	456
216	126	454
217	126	453
218	126	451
219	126	449
220	127	447
221	127	446
222	127	444
223	127	442
224	127	440
225	128	439
226	128	437
227	128	435
228	128	434
229	129	432
230	129	431
231	129	429
232	130	428
233	130	426
234	130	425
235	130	423
236	131	422
237	131	421
238	131	419
239	132	418
240	132	416
241	132	415
242	132	413
243	133	412
244	133	410
245	133	409
246	133	408
247	134	406
248	134	405
249	134	403
250	134	402
251	135	401
252	135	399
253	135	398
254	135	396
255	136	395
256	136	393
257	136	392
258	136	391
259	137	390
260	137	389
261	138	389
262	138	388
263	138	387
264	139	386
265	139	385
266	139	383
267	140	382
268	140	381
269	140	379
270	140	378
271	141	377
272	141	376
273	141	374
274	141	373
275	142	372
276	142	371
